descricao,problema
,"Publicação no DOU"
"a funcionária Carla Barata Ribeiro, que veio para a Gerae em processo de lateralidade, não consta no grupo de funcionários para validação do ponto via aplicativo Pontosoft e consta quando acessado via web. Peço que acertem a situação, por gentileza, e que, se possível, já reavaliem as ocorrências que serão geradas por validação D+3, uma vez que os comandos acabaram não sendo efetuados nem pela Getec nem pela Gerae.<div>Grata!</div>",Funcionalismo
"
            <b style=""font-variant: small-caps; font-size: medium;"">Acesso aos sistemas da Fundação</b><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>
            <b>Nome: </b><span name=""r_matricula"">9.213.502-1</span>&nbsp;&nbsp;&nbsp;<span name=""r_nome"">SUZANA ISABEL DOS SANTOS MAIA</span>&nbsp;<span name=""spAreaUsu"" style=""display: none;""></span><br>
            <b>Lista de sistemas para acesso: </b><br>
            <b>Rede ou outro sistema: </b><br><span name=""r_acessorede"">Não solicitado</span><br>
            <b>Sites na internet: </b> <span name=""r_acessosite""></span><br>
            <span id=""sites_opc"" style="""">
                <b>URL desejada: </b><span name=""r_urlSitio"">Perfil Gecom</span><br>
                <b>Justificativa: </b><br><span name=""r_ta_justificativa"">Atividades da Comissão de Certificação BTS - Prêmio 2017 </span><br>
                <b>Interesse para a Fundação: </b><br><span name=""r_ta_interesse"">Avaliar material enviado pelas concorrentes ao prêmio.</span><br>
                <b>Orientação para acesso: </b><br><span name=""r_ta_jorientacao""></span><br>
            </span>
            <b>SGP: </b><br><span name=""r_sgp"">Não solicitado</span><br>
            <b>Sapiens: </b><br><span name=""r_acessosapiens"">Não solicitado</span>
            <span id=""sapiens_opc"" style=""display: none;"">
                <b>Observações do acesso ao Sapiens: </b><br><span name=""r_sapiens_obs"">- Nenhuma -</span><br>
                <b>Perfil de acesso de acordo com a área/núcleo: </b><span name=""r_areaacessosapiens""></span><br>
                <b>Acesso ao Controle de Aprovação: </b><span name=""r_acessoctrlaprov"">Não solicitado</span><br>
                <b>Observações para Controle de Aprovação: </b><br><span name=""r_acessosapiens_obs"">- Nenhuma -</span>
            </span><br>
            <b>PowerBi: </b><br><span name=""r_bi"">Não solicitado</span><br>
            <b>BBTur (SGV): </b><span name=""r_acessosgv"">Não solicitado</span><br>
            <span id=""r_sgv"" style=""display: none;"">

                <b>Matrícula: </b><span name=""r_matricula_SGV"">-</span><br>
                <b>Nome: </b><span name=""r_nome_SGV"">-</span><br>
                <b>Data de Nascimento: </b><span name=""r_nascimento_SGV"">-</span><br>
                <b>CPF: </b><span name=""r_cpf_SGV"">-</span><br>
                <b>RG: </b><span name=""r_rg_SGV"">-</span>&nbsp;&nbsp;<b>Órgão Expedidor: </b><span name=""r_expedidor_SGV"">-</span>&nbsp;&nbsp;<b>Data de Expedição: </b><span name=""r_dt_expedicao_SGV"">-</span><br>
                <b>Telefone: </b><span name=""r_tel_SGV"">-</span>&nbsp;&nbsp;<b>E-mail: </b><span name=""r_mail_SGV"">-</span><br>
                <b>Cargo: </b><span name=""r_cargo_SGV"">-</span>&nbsp;&nbsp;<b>Centro de Custo: </b><span name=""r_arealotacao_SGV"">-</span><br>

            </span>
            <span id=""r_cpf"" style=""display: none;"">CPF: <span name=""r_cpf"">Não informado</span></span>
        ","Acessos Diversos"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br>Favor recuperar o arquivo deletado indevidamente hoje, com a minha chave.<br>nome do arquivo:<br>PAINEL ANIVERSARIANTES JUL 2017.pptx<br><br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: <br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: <br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: <br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: <br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: <br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: <br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: <br><br><b> Informações Adicionais:  </b><br>","Software - Instalação / Configuração / Desinstalação"
"Solicito alterar/acrescentar meu perfil no SGP igual ao do funci 0.429.587-0 - ALEX DE ALMEIDA SOUZA.","Acessos Diversos"
"
                <b style=""font-variant: small-caps; font-size: medium;"">Comunicado Interno</b><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>
                <b>Título da mensagem: </b><span name=""r_titulo"">OFICINA NOTA TECNICA</span><br>
                <b>Data e hora do evento: </b><span name=""r_data"">04/07/2017</span> às <span name=""r_horaini"">09:00</span><br>
                <b>Local de realização: </b><span name=""r_local"">SALA JK</span><br>
                <b>Conta como hora de treinamento? </b><span name=""rbPergunta01"">Sim</span><br>
                <b>Código FIP a ser utilizado: </b><span name=""codigoFIP"">273</span><br>
                <b>Texto da mensagem: </b><br><span name=""r_textomsg"">enviado por email para Marcelia.</span><br>
            ","Comunicação Interna"
"<span style=""font-family: tahoma; font-size: 11px; background-color: rgb(255, 255, 255);"">Solicitamos análise tributária da NF 164 - PNS 6 - Projeto 14.574.&nbsp;A declaração</span><span style=""font-family: tahoma; font-size: 13.5pt; line-height: 20.7px; background-color: rgb(255, 255, 255);"">&nbsp;</span><span style=""font-family: tahoma; font-size: 11px; background-color: rgb(255, 255, 255);"">está disponível no endereço Geate/Publico/Resíduos Sólidos/Cataforte III/Produto das Bases/14.574 - Pasta Negócios.</span>","Impostos/Tributos – Cálculo/Emissão Guias"
,"Publicação no DOU"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: imprimir na impressora colorida da GEMAV deskjet 1510<br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: impressora sem tinta para impressão.<br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: <br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: <br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: &nbsp;atraso na entrega de relatórios de monitoramento<br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: o quanto antes.<br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: não<br><br><b> Informações Adicionais: substituição do cartucho de tinta preta da impressora modelo deskjet 1510.</b><br>","Equip de Informática - Instalação/Manutenção/Desinstalação"
"Solicitamos, por gentileza, trinta (30) copos descartáveis a serem utilizados pelos participantes do Media Training que está acontecendo hoje a tarde e prosseguirá amanhã a tarde também no auditório do 19º.&nbsp;","Material padronizado – extra"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: Alterar o vínculo dos projetos 16.081, 16.096, 16.131, 16.145, 16.151, 16.185, 16.199 e 16.208, todos aprovados no âmbito da ação PIS, cadastrados erroneamente no acordo Brasilcap, quando o correto seria Não vinculado a parcerias.&nbsp;<br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: Remarcar os projetos nas condições descritas no item 1.<br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: Favor consultar o Relatório 222 para visualizar o problema.<br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: Demandar a Gefic/Getec para realizar a remarcação.<br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: Registro de dados errados no sistema.<br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: 28/06/2017.<br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: Não.<br><br><b> Informações Adicionais:  </b><br>","Sapiens - Manutenção Evolutiva (Expressa)"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: Imprimir<br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: Falta de funcionalidade<br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX<br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: Estou encaminhando documentos para impressão (na impressora Gerap Sansung em FBB4002) tanto do SAPIENS como do SGP e do Office, porém, em nenhum deles as impressões estão sendo emitidas.<br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: Médio uma vez que há outra impressora (HP 5499 em FBB4002), porem a sobrecarga pode acarretar paralisação dessa também - conforme ocorrido em outras ocasiões semelhantes.<br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: Hoje<br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: Não<br><br><b> Informações Adicionais:  </b><br>","Equip de Informática - Instalação/Manutenção/Desinstalação"
"Solicito o uso da sala JK na data de hoje, entre 10:00 e 12:00, para apresentação da Gerae.","Reserva de espaço"
"Solicito reservar a Biblioteca para hoje, no período da manhã.<br>","Reserva de espaço"
"Impressora GERAP SANSUNG FBB 4002 não está funcionando. Não liga nem desliga.&nbsp;<div><br><div><br></div></div>","Equip de Informática - Instalação/Manutenção/Desinstalação"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: Testar funcionamento dos equipamentos do auditório para treinamento de media para funcionários da FBB<br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: Se não funcionar algum equipamento vai impactar o treinamento.<br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: <br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: <br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: <br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: até dia 28 pela manhã<br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: <br><br><b> Informações Adicionais:  </b><br>","Equip de Informática - Instalação/Manutenção/Desinstalação"
"Marcus, boa tarde. Gentileza efetuar a troca da lâmpada no 10º andar. Perto do banheiro masculino (com sensor).<br>Obrigada.<br>","Problema Padrão - GEPIN"
,"Publicação no DOU"
"Prezados,<div><br></div><div>Peço a gentileza de verificar por que há registro de irregularidade no dia 13/06 e déficit de 1,6 hora. Favor providenciar o acerto ou esclarecimento do fato.</div>",Funcionalismo
"Prezados,<div><br></div><div>Não entendi por que há déficit de 2 horas no dia 07/06 no ponto eletrônico. Peço verificação/esclarecimentos.</div>",Funcionalismo
"Boa tarde. Favor reservar o auditório dia 30/6 a partir das 15h.","Reserva de espaço"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: abrir arquivos do colab arquivados<br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: erro<br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: anexado<br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: xxxxxx<br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: xxxxxxxx<br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: xxxxxxxxxx<br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: xxxxxx<br><br><b> Informações Adicionais:  solicito ajuda para abrir os documentos colab arquivados . </b><br>","Software - Instalação / Configuração / Desinstalação"
"
            <b style=""font-variant: small-caps; font-size: medium;"">Acesso aos sistemas da Fundação</b><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>
            <b>Nome: </b><span name=""r_matricula"">2.670.842-6</span>&nbsp;&nbsp;&nbsp;<span name=""r_nome"">EDMILSON DE OLIVEIRA MARQUES</span>&nbsp;<span name=""spAreaUsu"" style=""display: none;""></span><br>
            <b>Lista de sistemas para acesso: </b><br>
            <b>Rede ou outro sistema: </b><br><span name=""r_acessorede"">Não solicitado</span><br>
            <b>Sites na internet: </b> <span name=""r_acessosite"">Não solicitado</span><br>
            <span id=""sites_opc"" style=""display: none;"">
                <b>URL desejada: </b><span name=""r_urlSitio"">Não informada</span><br>
                <b>Justificativa: </b><br><span name=""r_ta_justificativa"">Não informado</span><br>
                <b>Interesse para a Fundação: </b><br><span name=""r_ta_interesse"">Não informado</span><br>
                <b>Orientação para acesso: </b><br><span name=""r_ta_jorientacao"">Não informado</span><br>
            </span>
            <b>SGP: </b><br><span name=""r_sgp"">Não solicitado</span><br>
            <b>Sapiens: </b><br><span name=""r_acessosapiens""></span>
            <span id=""sapiens_opc"" style="""">
                <b>Observações do acesso ao Sapiens: </b><br><span name=""r_sapiens_obs"">Preciso dos mesmos acessos do Ícaro, Matr. 4.330.034-0, login icaro.souza.</span><br>
                <b>Perfil de acesso de acordo com a área/núcleo: </b><span name=""r_areaacessosapiens"">GETEC</span><br>
                <b>Acesso ao Controle de Aprovação: </b><span name=""r_acessoctrlaprov"">Sim (Aprovação de Projetos, Requisição de Material)</span><br>
                <b>Observações para Controle de Aprovação: </b><br><span name=""r_acessosapiens_obs""></span>
            </span><br>
            <b>PowerBi: </b><br><span name=""r_bi"">Não solicitado</span><br>
            <b>BBTur (SGV): </b><span name=""r_acessosgv"">Não solicitado</span><br>
            <span id=""r_sgv"" style=""display: block;"">

                <b>Matrícula: </b><span name=""r_matricula_SGV"">-</span><br>
                <b>Nome: </b><span name=""r_nome_SGV"">-</span><br>
                <b>Data de Nascimento: </b><span name=""r_nascimento_SGV"">-</span><br>
                <b>CPF: </b><span name=""r_cpf_SGV"">-</span><br>
                <b>RG: </b><span name=""r_rg_SGV"">-</span>&nbsp;&nbsp;<b>Órgão Expedidor: </b><span name=""r_expedidor_SGV"">-</span>&nbsp;&nbsp;<b>Data de Expedição: </b><span name=""r_dt_expedicao_SGV"">-</span><br>
                <b>Telefone: </b><span name=""r_tel_SGV"">-</span>&nbsp;&nbsp;<b>E-mail: </b><span name=""r_mail_SGV"">-</span><br>
                <b>Cargo: </b><span name=""r_cargo_SGV"">-</span>&nbsp;&nbsp;<b>Centro de Custo: </b><span name=""r_arealotacao_SGV"">-</span><br>

            </span>
            <span id=""r_cpf"" style=""display: none;"">CPF: <span name=""r_cpf"">Não informado</span></span>
        ","Acessos Diversos"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R:&nbsp; Emitir relação dos projetos no SAPIENS.<br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R:&nbsp; Falta de funcionalidade no SAPIENS para extrair as informações de todos os projetos<br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: <br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: <br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R:&nbsp; Ausência de visão geral dos projetos <br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R:&nbsp; 30/06/2017<br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R:&nbsp; Não<br><br><b> Informações Adicionais:  <br><br>Solicitamos Select do SAPIENS de todos os projetos da Fundação, contendo as seguintes colunas:<br><br>- Número do projeto<br>- Título do Projeto<br>- Situação<br>- Data da Situação<br>- Entidade/Número Fornecedor<br>- Projeto Superior<br>- Data inicio execução<br>- Data término do projeto<br>- Data de encerramento<br>- Valor cancelado<br><br></b>","Dados/Informações - Consulta"
"Por favor, solicitamos envio de três vias da ata do CC, de 21.06.2017, para assinatura do&nbsp; Diretor Rabelo, conforme abaixo:<br><br>Endereço:SAUN QUADRA 5 LOTE B TORRE I - ED. BANCO DO BRASIL - 10º ANDAR<br>Aos Cuidados de Juliana, Ana Maria ou Olga.<br>Telefone: 3493 0300<br><br><br><br><br><br><br><br>Protocolo de Recebimento:_____________________________________________________<br>Data:____/_____/______.<br>","Serviços externos"
"
            <b style=""font-variant: small-caps; font-size: medium;"">Acesso aos sistemas da Fundação</b><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>
            <b>Nome: </b><span name=""r_matricula"">6.599.539-2</span>&nbsp;&nbsp;&nbsp;<span name=""r_nome"">LUIZ TOMAZ COSTA</span>&nbsp;<span name=""spAreaUsu"" style=""display: none;""></span><br>
            <b>Lista de sistemas para acesso: </b><br>
            <b>Rede ou outro sistema: </b><br><span name=""r_acessorede"">Não solicitado</span><br>
            <b>Sites na internet: </b> <span name=""r_acessosite""></span><br>
            <span id=""sites_opc"" style="""">
                <b>URL desejada: </b><span name=""r_urlSitio"">http://187.32.166.223:10000</span><br>
                <b>Justificativa: </b><br><span name=""r_ta_justificativa"">monitoramento e avaliação de Projetos - Projeto Efetividade - projeto água brasil</span><br>
                <b>Interesse para a Fundação: </b><br><span name=""r_ta_interesse"">informações sobre projetos e novas formar de se medir o impacto dos investimentos.</span><br>
                <b>Orientação para acesso: </b><br><span name=""r_ta_jorientacao"">Consulta.</span><br>
            </span>
            <b>SGP: </b><br><span name=""r_sgp"">Não solicitado</span><br>
            <b>Sapiens: </b><br><span name=""r_acessosapiens"">Não solicitado</span>
            <span id=""sapiens_opc"" style=""display: none;"">
                <b>Observações do acesso ao Sapiens: </b><br><span name=""r_sapiens_obs"">- Nenhuma -</span><br>
                <b>Perfil de acesso de acordo com a área/núcleo: </b><span name=""r_areaacessosapiens""></span><br>
                <b>Acesso ao Controle de Aprovação: </b><span name=""r_acessoctrlaprov"">Não solicitado</span><br>
                <b>Observações para Controle de Aprovação: </b><br><span name=""r_acessosapiens_obs"">- Nenhuma -</span>
            </span><br>
            <b>PowerBi: </b><br><span name=""r_bi"">Não solicitado</span><br>
            <b>BBTur (SGV): </b><span name=""r_acessosgv"">Não solicitado</span><br>
            <span id=""r_sgv"" style=""display: none;"">

                <b>Matrícula: </b><span name=""r_matricula_SGV"">-</span><br>
                <b>Nome: </b><span name=""r_nome_SGV"">-</span><br>
                <b>Data de Nascimento: </b><span name=""r_nascimento_SGV"">-</span><br>
                <b>CPF: </b><span name=""r_cpf_SGV"">-</span><br>
                <b>RG: </b><span name=""r_rg_SGV"">-</span>&nbsp;&nbsp;<b>Órgão Expedidor: </b><span name=""r_expedidor_SGV"">-</span>&nbsp;&nbsp;<b>Data de Expedição: </b><span name=""r_dt_expedicao_SGV"">-</span><br>
                <b>Telefone: </b><span name=""r_tel_SGV"">-</span>&nbsp;&nbsp;<b>E-mail: </b><span name=""r_mail_SGV"">-</span><br>
                <b>Cargo: </b><span name=""r_cargo_SGV"">-</span>&nbsp;&nbsp;<b>Centro de Custo: </b><span name=""r_arealotacao_SGV"">-</span><br>

            </span>
            <span id=""r_cpf"" style=""display: none;"">CPF: <span name=""r_cpf"">Não informado</span></span>
        ","Acessos Diversos"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: arquivo em formato de excell com dados extraídos do Sapiens. Solicito para fins de apuração dos números para o atb um arquivo em excell (já disponibilizado mensalmente pela Getec-Carla) com os seguintes dados: sit projeto, nr.projeto, nome proj, nr. proj superior, datapr, datdef, datipj, datfpj, datpro, datana, datcon, datatu, codfor, nome fornecedor.&nbsp;<br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: na<span class=""Apple-tab-span"" style=""white-space:pre"">	</span><br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: <br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: <br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: <br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: <br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: <br><br><b> Informações Adicionais:  </b><br>","Sapiens - Manutenção Evolutiva (Expressa)"
"Solicito umidificador","Equipamento (exceto informática) - Instalação"
"<span style=""font-family: tahoma; font-size: 11px; background-color: rgb(255, 255, 255);"">Solicitamos análise tributária da NF 14 - MOB 11 - Projeto 14.654. A instituição não enviou declaração.</span>","Impostos/Tributos – Cálculo/Emissão Guias"
"<span style=""font-family: tahoma; font-size: 11px; background-color: rgb(255, 255, 255);"">Solicitamos análise tributária da NF 13 - MOB 10 - Projeto 14.654. A instituição não enviou declaração.</span>","Impostos/Tributos – Cálculo/Emissão Guias"
"<span style=""font-family: tahoma; font-size: 11px; background-color: rgb(255, 255, 255);"">Solicitamos análise tributária da NF 954 - MOB 8- Projeto 14.665. A instituição não enviou declaração.</span>","Impostos/Tributos – Cálculo/Emissão Guias"
"Solicito a análise tributária NF 01 - PNHU - Projeto 15.539 - Plano de Trabalho. A declaração está disponível em Geate/ Publico/ Demais Iniciativas / Declarações&nbsp; NF<br>","Impostos/Tributos – Cálculo/Emissão Guias"
"
            <b style=""font-variant: small-caps; font-size: medium;"">Acesso aos sistemas da Fundação</b><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>
            <b>Nome: </b><span name=""r_matricula"">0.723.187-3</span>&nbsp;&nbsp;&nbsp;<span name=""r_nome"">ANA PAULA MOREIRA LIMA</span>&nbsp;<span name=""spAreaUsu"" style=""display: none;""></span><br>
            <b>Lista de sistemas para acesso: </b><br>
            <b>Rede ou outro sistema: </b><br><span name=""r_acessorede"">Não solicitado</span><br>
            <b>Sites na internet: </b> <span name=""r_acessosite"">Não solicitado</span><br>
            <span id=""sites_opc"" style=""display: none;"">
                <b>URL desejada: </b><span name=""r_urlSitio"">Não informada</span><br>
                <b>Justificativa: </b><br><span name=""r_ta_justificativa"">Não informado</span><br>
                <b>Interesse para a Fundação: </b><br><span name=""r_ta_interesse"">Não informado</span><br>
                <b>Orientação para acesso: </b><br><span name=""r_ta_jorientacao"">Não informado</span><br>
            </span>
            <b>SGP: </b><br><span name=""r_sgp"">Solicito acesso ao SGP com perfil da Geate pois estou participando da seleção de projetos via edital ecoforte extravismo</span><br>
            <b>Sapiens: </b><br><span name=""r_acessosapiens"">Não solicitado</span>
            <span id=""sapiens_opc"" style=""display: none;"">
                <b>Observações do acesso ao Sapiens: </b><br><span name=""r_sapiens_obs"">- Nenhuma -</span><br>
                <b>Perfil de acesso de acordo com a área/núcleo: </b><span name=""r_areaacessosapiens""></span><br>
                <b>Acesso ao Controle de Aprovação: </b><span name=""r_acessoctrlaprov"">Não solicitado</span><br>
                <b>Observações para Controle de Aprovação: </b><br><span name=""r_acessosapiens_obs"">- Nenhuma -</span>
            </span><br>
            <b>PowerBi: </b><br><span name=""r_bi"">Não solicitado</span><br>
            <b>BBTur (SGV): </b><span name=""r_acessosgv"">Não solicitado</span><br>
            <span id=""r_sgv"" style=""display: none;"">

                <b>Matrícula: </b><span name=""r_matricula_SGV"">-</span><br>
                <b>Nome: </b><span name=""r_nome_SGV"">-</span><br>
                <b>Data de Nascimento: </b><span name=""r_nascimento_SGV"">-</span><br>
                <b>CPF: </b><span name=""r_cpf_SGV"">-</span><br>
                <b>RG: </b><span name=""r_rg_SGV"">-</span>&nbsp;&nbsp;<b>Órgão Expedidor: </b><span name=""r_expedidor_SGV"">-</span>&nbsp;&nbsp;<b>Data de Expedição: </b><span name=""r_dt_expedicao_SGV"">-</span><br>
                <b>Telefone: </b><span name=""r_tel_SGV"">-</span>&nbsp;&nbsp;<b>E-mail: </b><span name=""r_mail_SGV"">-</span><br>
                <b>Cargo: </b><span name=""r_cargo_SGV"">-</span>&nbsp;&nbsp;<b>Centro de Custo: </b><span name=""r_arealotacao_SGV"">-</span><br>

            </span>
            <span id=""r_cpf"" style=""display: none;"">CPF: <span name=""r_cpf"">Não informado</span></span>
        ","Acessos Diversos"
"
            <b style=""font-variant: small-caps; font-size: medium;"">Acesso aos sistemas da Fundação</b><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>
            <b>Nome: </b><span name=""r_matricula"">1.726.065</span>&nbsp;&nbsp;&nbsp;<span name=""r_nome"">CARLA RABELO SAMPAIO</span>&nbsp;<span name=""spAreaUsu"" style=""display: none;""></span><br>
            <b>Lista de sistemas para acesso: </b><br>
            <b>Rede ou outro sistema: </b><br><span name=""r_acessorede"">Não solicitado</span><br>
            <b>Sites na internet: </b> <span name=""r_acessosite"">Não solicitado</span><br>
            <span id=""sites_opc"" style=""display: none;"">
                <b>URL desejada: </b><span name=""r_urlSitio"">Não informada</span><br>
                <b>Justificativa: </b><br><span name=""r_ta_justificativa"">Não informado</span><br>
                <b>Interesse para a Fundação: </b><br><span name=""r_ta_interesse"">Não informado</span><br>
                <b>Orientação para acesso: </b><br><span name=""r_ta_jorientacao"">Não informado</span><br>
            </span>
            <b>SGP: </b><br><span name=""r_sgp"">Não solicitado</span><br>
            <b>Sapiens: </b><br><span name=""r_acessosapiens""></span>
            <span id=""sapiens_opc"" style="""">
                <b>Observações do acesso ao Sapiens: </b><br><span name=""r_sapiens_obs""></span><br>
                <b>Perfil de acesso de acordo com a área/núcleo: </b><span name=""r_areaacessosapiens"">GEIMP</span><br>
                <b>Acesso ao Controle de Aprovação: </b><span name=""r_acessoctrlaprov"">Sim (Aprovação de Projetos, Requisição de Material)</span><br>
                <b>Observações para Controle de Aprovação: </b><br><span name=""r_acessosapiens_obs""></span>
            </span><br>
            <b>PowerBi: </b><br><span name=""r_bi"">Não solicitado</span><br>
            <b>BBTur (SGV): </b><span name=""r_acessosgv"">Não solicitado</span><br>
            <span id=""r_sgv"" style=""display: none;"">

                <b>Matrícula: </b><span name=""r_matricula_SGV"">-</span><br>
                <b>Nome: </b><span name=""r_nome_SGV"">-</span><br>
                <b>Data de Nascimento: </b><span name=""r_nascimento_SGV"">-</span><br>
                <b>CPF: </b><span name=""r_cpf_SGV"">-</span><br>
                <b>RG: </b><span name=""r_rg_SGV"">-</span>&nbsp;&nbsp;<b>Órgão Expedidor: </b><span name=""r_expedidor_SGV"">-</span>&nbsp;&nbsp;<b>Data de Expedição: </b><span name=""r_dt_expedicao_SGV"">-</span><br>
                <b>Telefone: </b><span name=""r_tel_SGV"">-</span>&nbsp;&nbsp;<b>E-mail: </b><span name=""r_mail_SGV"">-</span><br>
                <b>Cargo: </b><span name=""r_cargo_SGV"">-</span>&nbsp;&nbsp;<b>Centro de Custo: </b><span name=""r_arealotacao_SGV"">-</span><br>

            </span>
            <span id=""r_cpf"" style=""display: none;"">CPF: <span name=""r_cpf"">Não informado</span></span>
        ","Acessos Diversos"
